Date,Product,Quantity,Price,Customer_ID,Region,Total_Sales
2025-06-04,Streaming Stick,5,49.99,CUST-004,West,249.95
2025-10-10,Security Camera,2,129.99,CUST-019,Central,259.98
2025-09-12,Tech Support,1,29.99,CUST-070,East,29.99
2025-08-08,Security Camera,4,129.99,CUST-098,Central,519.96
2025-05-07,Router Pro,4,89.99,CUST-082,West,359.96
2025-08-09,Tech Support,3,29.99,CUST-013,North,89.97
2026-01-23,Streaming Stick,4,49.99,CUST-023,Central,199.96
2025-05-18,Tech Support,5,29.99,CUST-083,Central,149.95
2025-05-21,Fiber Optic Setup,5,199.99,CUST-075,North,999.95
2025-12-12,Tech Support,3,29.99,CUST-001,East,89.97
2025-05-13,Fiber Optic Setup,5,199.99,CUST-088,North,999.95
2026-01-05,Tech Support,2,29.99,CUST-054,Central,59.98
2025-06-11,Fiber Optic Setup,3,199.99,CUST-071,East,599.97
2025-06-12,Router Pro,2,89.99,CUST-089,East,179.98
2026-03-11,Security Camera,1,129.99,CUST-085,North,129.99
2025-12-07,Streaming Stick,2,49.99,CUST-015,Central,99.98
2026-01-14,Tech Support,1,29.99,CUST-065,West,29.99
2025-07-01,Security Camera,1,129.99,CUST-076,Central,129.99
2025-08-21,Streaming Stick,2,49.99,CUST-071,South,99.98
2026-01-03,Streaming Stick,3,49.99,CUST-015,West,149.97
2026-02-12,Fiber Optic Setup,5,199.99,CUST-021,East,999.95
2025-11-10,Router Pro,5,89.99,CUST-019,West,449.95
2025-07-25,Router Pro,1,89.99,CUST-060,East,89.99
2026-01-09,Security Camera,1,129.99,CUST-093,East,129.99
2026-03-27,Router Pro,3,89.99,CUST-089,West,269.97
2025-07-19,Tech Support,4,29.99,CUST-033,East,119.96
2026-04-08,Router Pro,2,89.99,CUST-049,East,179.98
2025-09-14,Security Camera,1,129.99,CUST-096,South,129.99
2025-10-29,Router Pro,5,89.99,CUST-035,Central,449.95
2026-03-17,Tech Support,3,29.99,CUST-044,Central,89.97
2026-03-06,Fiber Optic Setup,2,199.99,CUST-090,South,399.98
2025-10-16,Security Camera,3,129.99,CUST-011,West,389.97
2025-11-18,Fiber Optic Setup,2,199.99,CUST-099,North,399.98
2025-12-28,Fiber Optic Setup,2,199.99,CUST-072,North,399.98
2025-11-25,Fiber Optic Setup,1,199.99,CUST-078,North,199.99
2025-06-08,Streaming Stick,3,49.99,CUST-074,South,149.97
2025-08-12,Streaming Stick,3,49.99,CUST-066,South,149.97
2025-08-01,Fiber Optic Setup,5,199.99,CUST-046,East,999.95
2025-05-10,Security Camera,5,129.99,CUST-009,North,649.95
2025-09-28,Tech Support,1,29.99,CUST-003,West,29.99
2025-04-18,Tech Support,1,29.99,CUST-085,West,29.99
2026-02-03,Router Pro,4,89.99,CUST-026,North,359.96
2026-01-16,Security Camera,5,129.99,CUST-072,North,649.95
2025-08-03,Streaming Stick,2,49.99,CUST-048,North,99.98
2026-02-03,Fiber Optic Setup,3,199.99,CUST-066,South,599.97
2025-07-29,Router Pro,1,89.99,CUST-070,South,89.99
2025-04-11,Tech Support,3,29.99,CUST-028,South,89.97
2025-05-14,Streaming Stick,3,49.99,CUST-093,Central,149.97
2026-04-05,Streaming Stick,4,49.99,CUST-026,West,199.96
2026-02-25,Fiber Optic Setup,5,199.99,CUST-025,West,999.95
2025-05-08,Tech Support,1,29.99,CUST-012,East,29.99
2025-08-03,Security Camera,3,129.99,CUST-005,South,389.97
2025-05-12,Streaming Stick,1,49.99,CUST-098,Central,49.99
2025-04-24,Fiber Optic Setup,2,199.99,CUST-048,Central,399.98
2025-09-24,Security Camera,4,129.99,CUST-037,West,519.96
2025-05-14,Tech Support,2,29.99,CUST-079,South,59.98
2025-12-27,Streaming Stick,1,49.99,CUST-044,East,49.99
2025-08-07,Security Camera,1,129.99,CUST-100,South,129.99
2025-08-28,Security Camera,5,129.99,CUST-015,North,649.95
2026-03-16,Security Camera,3,129.99,CUST-043,South,389.97
2025-12-12,Streaming Stick,3,49.99,CUST-048,North,149.97
2025-07-26,Streaming Stick,2,49.99,CUST-087,North,99.98
2026-01-09,Router Pro,4,89.99,CUST-070,East,359.96
2025-06-14,Tech Support,3,29.99,CUST-046,West,89.97
2026-01-25,Fiber Optic Setup,5,199.99,CUST-043,South,999.95
2026-01-28,Security Camera,2,129.99,CUST-021,North,259.98
2025-12-06,Router Pro,2,89.99,CUST-023,South,179.98
2025-08-10,Fiber Optic Setup,5,199.99,CUST-080,West,999.95
2025-12-06,Router Pro,4,89.99,CUST-047,West,359.96
2025-11-02,Streaming Stick,5,49.99,CUST-015,Central,249.95
2025-07-14,Security Camera,4,129.99,CUST-025,West,519.96
2025-05-26,Fiber Optic Setup,5,199.99,CUST-036,East,999.95
2025-05-27,Fiber Optic Setup,5,199.99,CUST-075,North,999.95
2026-03-11,Fiber Optic Setup,1,199.99,CUST-051,Central,199.99
2025-11-14,Fiber Optic Setup,2,199.99,CUST-015,East,399.98
2025-10-06,Fiber Optic Setup,5,199.99,CUST-068,South,999.95
2025-11-10,Router Pro,5,89.99,CUST-021,North,449.95
2025-11-04,Security Camera,3,129.99,CUST-013,West,389.97
2025-12-03,Streaming Stick,2,49.99,CUST-086,North,99.98
2025-05-05,Streaming Stick,3,49.99,CUST-019,South,149.97
2026-03-18,Streaming Stick,2,49.99,CUST-034,Central,99.98
2026-03-08,Streaming Stick,3,49.99,CUST-078,Central,149.97
2026-03-04,Router Pro,5,89.99,CUST-068,Central,449.95
2025-05-28,Tech Support,5,29.99,CUST-052,West,149.95
2025-05-09,Security Camera,1,129.99,CUST-027,East,129.99
2025-10-31,Fiber Optic Setup,3,199.99,CUST-029,East,599.97
2025-09-28,Tech Support,4,29.99,CUST-028,North,119.96
2025-06-02,Streaming Stick,1,49.99,CUST-035,West,49.99
2025-08-13,Tech Support,3,29.99,CUST-008,Central,89.97
2025-07-15,Security Camera,3,129.99,CUST-016,Central,389.97
2025-07-14,Fiber Optic Setup,1,199.99,CUST-036,South,199.99
2026-01-07,Fiber Optic Setup,5,199.99,CUST-030,South,999.95
2025-11-23,Security Camera,3,129.99,CUST-018,Central,389.97
2025-06-18,Security Camera,5,129.99,CUST-002,Central,649.95
2025-11-10,Streaming Stick,1,49.99,CUST-049,West,49.99
2025-07-10,Fiber Optic Setup,5,199.99,CUST-077,East,999.95
2025-08-28,Tech Support,2,29.99,CUST-004,South,59.98
2025-11-30,Router Pro,4,89.99,CUST-090,East,359.96
2025-08-13,Router Pro,3,89.99,CUST-089,West,269.97
2025-05-16,Security Camera,4,129.99,CUST-094,Central,519.96
2025-11-20,Streaming Stick,5,49.99,CUST-075,East,249.95
2026-01-14,Router Pro,3,89.99,CUST-007,Central,269.97
2025-05-28,Fiber Optic Setup,5,199.99,CUST-095,Central,999.95
2025-05-03,Security Camera,2,129.99,CUST-074,North,259.98
2026-03-07,Tech Support,1,29.99,CUST-039,East,29.99
2026-01-09,Security Camera,3,129.99,CUST-013,East,389.97
2025-04-15,Tech Support,2,29.99,CUST-031,Central,59.98
2025-05-25,Security Camera,2,129.99,CUST-071,West,259.98
2025-08-07,Security Camera,3,129.99,CUST-063,North,389.97
2025-07-02,Security Camera,5,129.99,CUST-056,Central,649.95
2025-11-02,Tech Support,2,29.99,CUST-042,South,59.98
2025-12-12,Tech Support,4,29.99,CUST-061,South,119.96
